====================================================================================================
  RECOMENDACAO DE MONSTROS POR NIVEL (FAIXAS DE 50)
  Total: 528 monstros  |  Gerado: 04/06/2026 17:43
====================================================================================================

====================================================================================================
  TABELA COMPLETA POR NIVEL (ordenado por HP crescente)
====================================================================================================

----------------------------------------------------------------------------------------------------
  LEVEL 1 - 50  (387 monstros)
----------------------------------------------------------------------------------------------------
  MONSTRO                                       HP            EXP    SPEED     MANA
  ----------------------------------- ------------ -------------- -------- --------
  Cockroach                                      1              0      100        0
  Eye of the Seven                               1              0        0        0
  Butterfly                                      2              0      300        0
  Butterfly                                      2              0      300        0
  Butterfly                                      2              0      300        0
  Butterfly                                      2              0      300        0
  Butterfly                                      2              0      300        0
  Black Butterfly                                5              0      300        0
  Chicken                                       15              0      200      220
  Rabbit                                        15              0      180      220
  Silver Rabbit                                 15              0      215      220
  Snake                                         15             10      120      205
  Badger                                        20              5      180      200
  Black Sheep                                   20              0      200      250
  Dog                                           20              0      200      220
  Rat                                           20              5      134      200
  Sheep                                         20              0      110      250
  Skunk                                         20              3      120      200
  Spider                                        20             12      152      210
  Squirrel                                      20              0      490      220
  Bog Frog                                      25             20      180        0
  Deer                                          25              0      150      260
  Flamingo                                      25              0      180      250
  Seagull                                       25              0      200      250
  Wolf                                          25             18      195      255
  Poison Spider                                 26             22      160      270
  Bug                                           29             18      240      250
  Bat                                           30             10      200      250
  Mimic                                         30              0      170        0
  Sandcrawler                                   30             20      220        0
  Winter Wolf                                   30             20      200      260
  Wasp                                          35             25      460      280
  Scorpion                                      45             45      150      310
  Skeleton Warrior                              45             65      180      350
  Goblin                                        50             25      200      290
  Insect Swarm                                  50             40      100        0
  Island Troll                                  50             20      190      290
  Skeleton                                      50             35      154      300
  Troll                                         50             20      126      290
  Crab                                          55             30      180      305
  Frost Troll                                   55             23      190      300
  Phantasm                                      55          3,300      280        0
  Swamp Troll                                   55             65      128      320
  Munster                                       58             23      200      250
  Azure Frog                                    60             20      230      305
  Coral Frog                                    60             20      230      305
  Crimson Frog                                  60             20      230      305
  Goblin Scavenger                              60             37      220      310
  Green Frog                                    60              0      230      305
  Hyaena                                        60             20      206      275
  Orchid Frog                                   60             20      230        0
  Cobra                                         65             30      170      275
  Rotworm                                       65             40      176      305
  Undead Mine Worker                            65             45      154        0
  Larva                                         70             40      135      355
  Wolf hollow                                   70             40      230      255
  Goblin Assassin                               75             52      220      360
  Goblin Leader                                 75             50      200      290
  Tiger                                         75             40      240      420
  Troll Champion                                75             30      120      340
  Bear                                          80             23      176      300
  Dromedary                                     80             30      180      320
  Dworc Venomsniper                             80             30      240        0
  Dworc Voodoomaster                            80             50      240        0
  Grynch Clan Goblin                            80              4      870        0
  Dworc Fleshhunter                             85             35      240        0
  Polar Bear                                    85             28      156      315
  Rotworm Queen                                 85            300      126        0
  Dwarf                                         90             45      170      320
  Barbarian Headsplitter                       100             85      270      450
  Crazed Beggar                                100             35      220      300
  Elf                                          100             42      220      320
  Ghoul                                        100             85      144      450
  Lavahole                                     100              0        0        0
  Minotaur Archer                              100             65      170      390
  Minotaur                                     100             50      170      330
  Shredderthrower                              100             18        0        0
  Undead Prospector                            100             85      144        0
  Crocodile                                    105             40      240      350
  Wisp                                         115              0      200        0
  Gazer                                        120             90      240        0
  Wild Warrior                                 120             55      215      420
  Smuggler                                     130             48      210      390
  Barbarian Skullhunter                        135             85      270      450
  Dwarf Soldier                                135             70      170      360
  Toad                                         135             60      240      400
  Husky                                        140              0      195      420
  War Wolf                                     140             55      200        0
  Barbarian Brutetamer                         145             90      270        0
  Big Boss Trolliver                           150            105      140        0
  Ghost                                        150            120      160      100
  Hunter                                       150            150      215        0
  Mercury Blob                                 150            180      210        0
  poacher                                      150            150      215        0
  Slime                                        150              0      120        0
  Slime                                        150            160      120        0
  Spit Nettle                                  150             20        0        0
  Stalker                                      150             90      210        0
  Tortoise                                     150             90      200      445
  Minotaur Mage                                155            150      170        0
  Elf Scout                                    160             75      225      360
  Nomad                                        160             60      215      420
  Dire Penguin                                 173            120      156        0
  Gladiator                                    185             90      200      470
  Minotaur Guard                               185            160      190      550
  Dark Monk                                    190            145      210        0
  Mammoth                                      190            110      220        0
  Pirate Skeleton                              190             85      230        0
  Valkyrie                                     190             85      200      450
  Gnarlhound                                   198             60      206        0
  Cat                                          200             10      150      220
  Fire Devil                                   200            145      190      530
  Primitive                                    200             45      300        0
  Pirate Marauder                              210            125      230      490
  Elf Arcanist                                 220            175      230        0
  Quara Mantassin Scout                        220            100      270      480
  Dark Apprentice                              225            100      220        0
  Sibang                                       225            105      220        0
  Tarantula                                    225            120      280      485
  Merlkin                                      235            145      200        0
  Deepling Scout                               240            160       70        0
  Gozzler                                      240            180      260      800
  Monk                                         240            200      220      600
  Mummy                                        240            150      220        0
  Mutated Human                                240            150      245        0
  Bandit                                       245             65      180      450
  Dwarf Guard                                  245            165      200      650
  Bandit Black                                 250            100      180      450
  Parrot                                       250            250      240      250
  Pig                                          250             75      114      255
  Carniphila                                   255            150      240        0
  Cyclops                                      260            150      200      490
  Damaged Worker Golem                         260             95      270        0
  Lizard Sentinel                              265            110      240      560
  The Horned Fox                               265            200      210        0
  Frost Giant                                  270            150      195      490
  Stone Golem                                  270            280      180      590
  Tibia Bug                                    270             50      240      250
  Frost Giantess                               275            150      195      490
  Pirate Ghost                                 275            250      230        0
  Fire Elemental                               280            220      200      690
  Blood Crab                                   290            160      210      505
  Xenia                                        290            255      176      450
  Gang Member                                  295             70      220      420
  Bandit Gun                                   300            200      100        0
  Boar                                         300            320      180        0
  Cave Rat                                     300          1,000      150      250
  Dino                                         300            200      200        0
  Human Tiger                                  300            200      200        0
  Terror Bird                                  300            150      280      490
  The Snapper                                  300            150      240        0
  Thornback Tortoise                           300            150      200      490
  Witch                                        300            120      180        0
  Barbarian Bloodwalker                        305            195      205      590
  Lizard Snakecharmer                          315            210      200        0
  Death Blob                                   320            300      230        0
  Elephant                                     320            160      240      500
  Mini Stone Golem                             320            300      180        0
  Scarab                                       320            120      170      395
  Cyclops Drone                                325            200      220      525
  Dark Magician                                325            185      220        0
  Mad Scientist                                325            205      220        0
  Pirate Cutthroat                             325            175      230      495
  Blue Djinn                                   330            215      200        0
  Crypt Shambler                               330            195      180        0
  Green Djinn                                  330            215      220        0
  Penguin                                      330            100      156      300
  Kongra                                       340            115      200        0
  Terramite                                    365            160      220        0
  Dharalion                                    380            380      240        0
  Dragon Hatchling                             380            185      170        0
  Dwarf Geomancer                              380            245      200        0
  Ice Golem                                    385            295      195        0
  Priestess                                    390            420      220        0
  Demon Skeleton                               400            240      230      620
  Dino Hollow                                  400            200      240        0
  Fernfang                                     400            400      240        0
  Lancer Beetle                                400            250      220        0
  Lizard Templar                               410            155      220        0
  Pirate Buccaneer                             425            250      230      595
  Hacker                                       430             45      250        0
  Cyclops Smith                                435            255      220      695
  Foreman Kneebiter                            445            570      200        0
  Bandit Chef                                  450            200      180      450
  Donkey                                       450            200      100        0
  Gargoyle                                     450            150      250        0
  Haunted Treeling                             450            310      260        0
  Quara Constrictor Scout                      450            250      290      670
  Quara Constrictor                            450            250      520      670
  Vampire                                      450            305      220        0
  Man in the Cave                              485            555      210        0
  Charged Energy Elemental                     500            450      270        0
  Energy Elemental                             500            450      250        0
  Gin                                          500            300      300        0
  Hide                                         500            240      280        0
  Horse                                        500            420      300      320
  Skeleton Samurai                             500            300      180        0
  Ulquiorra                                    500            300      300        0
  Urahara                                      500            300      300        0
  Zaraki                                       500            300      300        0
  Zombie                                       500            280      180        0
  Bonebeast                                    515            580      210        0
  Dreadbeast                                   515            580      200      800
  Efreet                                       550            410      270        0
  General Murius                               550            300      240        0
  Marid                                        550            410      170        0
  Mutated Rat                                  550            450      245        0
  Slick Water Elemental                        550            450      280        0
  Water Elemental                              550            450      280        0
  Barbaria                                     555            355      280        0
  Blazing Fire Elemental                       580            580      220        0
  Necromancer                                  580            580      200        0
  Hairman The Huge                             600            335      230        0
  The Bloodtusk                                600            300      190        0
  Earth Elemental                              650            450      330        0
  Ice Witch                                    650            580      188        0
  Muddy Earth Elemental                        650            450      260        0
  Pirate Corsair                               675            350      230      775
  Chakoya Tribewarden                          680            400      270      305
  Android                                      700          2,500      250        0
  Nightstalker                                 700            500      260        0
  Orc                                          700            250      150      300
  Slug                                         700          1,400      100      355
  Dragon Lord Hatchling                        750            645      200        0
  Necropharus                                  750            700      240        0
  Quara Pincher Scout                          775            600      250        0
  Wyvern                                       795            515      200        0
  Bog Raider                                   800          1,300      300        0
  Chakoya Toolshaper                           800            400      270        0
  Esmeralda                                    800            600      245        0
  Frost Dragon Hatchling                       800            745      170        0
  Lion                                         800            300      230      320
  Quara Mantassin                              800            400      520      480
  Shardhead                                    800            650      195        0
  Chakoya Windcaller                           840            480      270      305
  Undead Minion                                850            550      230      620
  Wailing Widow                                850            450      280        0
  Lich                                         880            900      320        0
  Quara Predator Scout                         890            400      290        0
  Mutated Bat                                  900            615      245        0
  Apprentice Sheng                             950          1,000      170        0
  Yeti                                         950            460      270        0
  Dragon                                     1,000            700      180        0
  Mad Technomancer                           1,000             55      200        0
  Triceratops                                1,000            500      180        0
  Tyrannosaurus Rex                          1,000            500      180        0
  Undead Gladiator                           1,000            800      270        0
  Orc Spearman                               1,050          3,800      176      310
  Young Sea Serpent                          1,050          1,000      350      390
  Elder Beholder                             1,100            280      270        0
  Massive Energy Elemental                   1,100            850      300        0
  Mutated Tiger                              1,100            750      245        0
  Quara Hydromancer Scout                    1,100            800      280        0
  Quara Hydromancer                          1,100            800      520        0
  Orc Shaman                                 1,150          1,100      180        0
  Brutus Bloodbeard                          1,200            500      240        0
  Stampor                                    1,200            780      220        0
  The Evil Eye                               1,200            500      240        0
  Vampire Bride                              1,200          1,050      220        0
  Braindeath                                 1,225            895      270        0
  Crystal Spider                             1,250            900      340        0
  Giant Spider                               1,300            900      280        0
  Massive Earth Elemental                    1,330            850      290        0
  Spectre                                    1,350          2,100      250        0
  Hero                                       1,400          1,200      268        0
  Lizard Legionnaire                         1,400          1,100      220        0
  Nightmare Scion                            1,400          1,350      460        0
  Worker Golem                               1,400          1,250      270        0
  Carrion Worm                               1,450          7,000      200      380
  Lethal Lissy                               1,450            500      240        0
  Lizard Dragon Priest                       1,450          1,320      320        0
  Dest                                       1,475          2,500      200        0
  Term                                       1,475          2,500      380        0
  Blistering Fire Elemental                  1,500          1,300      230        0
  Jagged Earth Elemental                     1,500          1,300      280        0
  Killer Caiman                              1,500            800      240      350
  Numb Chandelier                            1,500          1,000      180        0
  Ron the Ripper                             1,500            500      240        0
  Yielothax                                  1,500          1,250      150        0
  Crustacea Gigantica                        1,600          1,800      240        0
  Overcharged Energy Elemental               1,700          1,300      300        0
  Assassin                                   1,750          1,050      224      450
  Roaring Water Elemental                    1,750          1,300      390        0
  Bandit Swordman                            1,800            800      180        0
  Black Knight                               1,800          1,600      450        0
  Frost Dragon                               1,800          2,300      260        0
  Lizard High Guard                          1,800          1,450      340        0
  Massive Fire Elemental                     1,800            950      260        0
  Orc Rider                                  1,800          1,100      340        0
  Quara Pincher                              1,800          1,200      540        0
  Wyrm                                       1,825          1,450      300        0
  Dragon Lord                                1,900          2,100      240        0
  Diabolic Imp                               1,950          2,900      320        0
  Werewolf                                   1,955          1,450      320        0
  Deadeye Devious                            2,000            500      300        0
  The Halloween Hare                         2,000              0      150        0
  Koshei The Deathless                       2,000              0      390        0
  Tiquandas Revenge                          2,000          1,755      440        0
  Tyrannosaurus Rex Hollow                   2,000            700      180        0
  Orc Berserker                              2,100          1,950      250      590
  Quara Predator                             2,200          1,600      520        0
